College Name,Email
GOVERNMENT ENGINEERING COLLEGE BHOJPUR,gecbhojpur@gmail.com
"SHIVAM HIGHER EDUCATION FOUNDATION GNM,NURSING COLLEGE",pankajnirala571@gmail.com
"GOVERNMENT INDUSTRIAL TRAINING INSTITUTE, NIRMALI, SUPAUL",govitinirmali@gmail.com
"GOVERNMENT I.T.I., SUPAUL",itisupaul1969@gmail.com
"GOVERNMENT WOMEN I.T.I., KAIMUR (BHABUA)",womenitikaimur@gmail.com
"GOVERNMENT I.T.I., KAIMUR (BHABUA)",itikaimurbhabua@gmail.com
"GOVERNMENT I.T.I., MOHANIA",itimohania@gmail.com
"GOVERNMENT WOMEN I.T.I., KISHANGANJ",witikishanganj2017@gmail.com
"GOVERNMENT I.T.I., SHEIKHPURA",govtitisheikhpura@gmail.com
"GOVERNMENT I.T.I., SASARAM (ROHTAS)",sasaramiti@gmail.com
"GOVERNMENT WOMEN I.T.I., ROHTAS",witirohtas@gmail.com
"GOVERNMENT I.T.I., BHELARI, ROHTAS",bhelarigovtiti@gmail.com
"GOVERNMENT I.T.I., SHEOHAR",sheohariti@gmail.com
"DEPARTMENT OF EDUCATION, MAGADH UNIVERSITY, BODH GAYA",directormueducation@gmail.com
"DEPARTMENT OF EDUCATION, S.P. JAIN COLLEGE",spjainsasaram@gmail.com
GUROBINDA COLLEGE OF PHARMACEUTICAL SCIENCES,gbcpcsnawada@gmail.com
NAVRANG PRABHUNATH INSTITUTE OF NURSING AND HOSPITAL,npinhospital@gmail.com
NEW INDIA INSTITUTE OF NURSING STUDIES,office.niins@gmail.com
CHAMPARAN NURSING COLLEGE,champarannursingcollege@gmail.com
GURO BINDA COLLEGE (NURSING),gbcnursingnwd@gmail.com
SATYAM INTERNATIONAL INSTITUTE OF TECHNOLOGY AND MANAGEMENT,siitmpatna@gmail.com
DR. KUMAR EDUCATIONAL INSTITUTION,dkeiraniganj@gmail.com
KUSUMRAJ EDUCATIONAL INTITUTION,kusumrajedu@gmail.com
GLOBAL FOUNDATION FOR HIGHER STUDIES,global.gfhs@gmail.com
PATLIPUTRA COLLEGE OF PROFESSIONAL EDUCATION,pcopeducation@gmail.com
DIVINE INSTITUTE OF MANAGEMENT AND STUDIES,dims.ziradei@gmail.com
MSJ COLLEGE OF PROFESSIONAL EDUCATION,msjcollegepatna@gmail.com
S.T. COLLEGE OF HEALTH EDUCATION,stchenursing@gmail.com
"GAYA COLLEGE,  GAYA",dheeraj.dhananjay99@gmail.com
CHAMPARAN GROUP OF  INSTITUTIONS,champarangroupofinstitutions@gmail.com
S.A. COLLEGE,sacollegenwd@gmail.com
SARAN INSTITUTE OF MEDICAL SCIENCES NURSING COLLEGE,simsmakersaran@gmail.com
KALYAN SEVA SANSTHAN COLLEGE OF PHARMACY,ksscpsimultala@gmail.com
LORD BUDDHA KOSHI PHARMACY COLLEGE,lbkpcsaharsa@gmail.com
CHAITANYA COLLEGE OF MANAGEMENT AND TECHNOLOGY,chaitanyacollegepatna@gmail.com
SHYAM SAI INSTITUTE OF EDUCATION,shyamsaipharma19@gmail.com
MANAV BHARTI COLLEGE OF PHARMACY,manavbharticollegeofpharmacy@gmail.com
INSTITUTE OF PHARMACY,dosutpharmacy@gmail.com
R. S. INSTITUTE OF HIGHER EDUCATION,rs.inst.19@gmail.com
R.P.S. TEACHER'S TRAINING COLLEGE,rpsttcmuz@gmail.com
RAGHU SAROJ WELFARE AND CHARITABLE TRUST,rswctb.edcollege@gmail.com
SHAKUNI CHOUDHARY COLLEGE OF HEALTH AND SCIENCES,scce2020@gmail.com
JINVANI MANAGEMENT COLLEGE,directoroffice@jmcara.in
"GOVERNMENT I.T.I., GAYA",gitigaya58@gmail.com
"GOVERNMENT I.T.I., SEMRA BAZAR, BAGHA",govtitisemrabazarbgh@gmail.com
"GOVERNMENT I.T.I., NARKATIYAGANJ",govtitinkt101@gmail.com
"GOVERNMENT I.T.I., BETTIAH",govt.itibettiah@gmail.com
AMBEDKAR COLLEGE OF EDUCATION FORMELY KNOWN AS SWAMI VIVEKANAND PROFESSIONAL INSTITUTE,swamivpharmacy2019@gmail.com
BETTIAH PVT. INDUSTRIAL TRAINING INSTITUTE,bettiahiti@gmail.com
DWARIKA (P) INDUSTRIAL TRAINING INSTITUTE,dwarikaiti@gmail.com
BUDDHA INTERNATIONAL PRIVATE ITI,kumarvikash811@gmail.com
VEER KUNWAR SINGH PRIVATE I.T.I.,vkspitijp@gmail.com
SURAJ SAWARIYA PVT. ITI,surajswariyaiti@gmail.com
CHANAKYA PVT. I.T.I.,chanakayaitc@gmail.com
SUJAN PRIVATE ITI,sujaniti@gmail.com
BUDDHA (PVT.) ITI,buddhaitisamastipur@gmail.com
GURUDEV PVT. INDUSTRIAL TRAINING CENTRE,bhardwaj.vikash09@gmail.com
PADMASHRI K.D. DEWAN INDUSTRIAL TRAINING CENTRE,vasfa1971@gmail.com
GORAKH PRASAD PRIVATE I.T.I.,gorakhprasadpvtiti@gmail.com
OM PVT. I.T.I.,ompvtiti01@gmail.com
SADGURU INDUSTRIAL TRAINING INSTITUTE,sadguruiti@gmail.com
SIR SHEOSAGAR RAMGULAM INDUSTRIAL TRAINING CENTRE,ssriti2011@gmail.com
GAJRAJ PRIVATE ITI,gajrajiti@gmail.com
JAHOOR PRIVATE INDUSTRIAL TRAINING INSTITUTE,jahooriti@gmail.com
NAV JYOTI INDUSTRIAL TRAINING CENTRE,njt0052@gmail.com
RAGHUNANDAN SINHA PVT. INDUSTRIAL TRAINING INSTITUTE,rspvtiti16@gmail.com
DR. R. DAYAL PRIVATE ITI,rdayaliti2013@gmail.com
ZAHOOR PVT. INDUSTRIAL TRAINING INSTITUTE,zahooriti@gmail.com
MANER PVT. INDUSTRIAL TRAINING INSTITUTE,manerpvtiti@gmail.com
BHAVISHYA BHARTI TECHNICAL PRIVATE INDUSTRIAL TRAINING INSTITUTE,bbiti2012@gmail.com
BHARTI PRIVATE INDUSTRIAL TRAINING INSTITUTE,bhartiitipvt@gmail.com
SHREE SAI BABA INDUSTRIAL TRAINING CENTRE,ssbitc101@gmail.com
HITACHI INDUSTRIAL TRAINING CENTRE,hitachiitc@gmail.com
BHAGALPUR INDUSTRIAL TRAINING CENTRE,bhagalpur101@gmail.com
SIR SHEOSAGAR RAMGULAM INDUSTRIAL TRAINING  CENTRE,ssriti2010@gmail.com
AL SAMAD PRIVATE INDUSTRIAL TRAINING INSTITUTE,alsamaditi@gmail.com
SEPHALI PVT. I.T.I.,sephalipvtiti@gmail.com
SIDDHARTH INDUSTRIAL TRAINING CENTRE,siddharthitigaya967@gmail.com
NAMDA PVT. INDUSTRIAL TRAINING INSTITUTE,namdapatna@gmail.com
NAMDA INDUSTRIAL TRAINING CENTRE,namdapupri@gmail.com
MAITREYI (PVT.) INDUSTRIAL TRAINING INSTITUTE,maitreyiiti@gmail.com
SHERGHATI PVT. I.T.I.,sherghatipvtiti@gmail.com
NAMDA PVT. INDUSTRIAL TRAINING INSTITUTE,namdasamastipur@gmail.com
GAURI MEMORIAL PVT. I.T.I.,gaurimemorialpvtiti@gmail.com
ISHA PVT. I.T.I.,ishapvtiti@gmail.com
YAMUNA MUNKA PVT. I.T.I.,yamunamunkaiti@gmail.com
MGM INDUSTRIAL TRAINING INSTITUTE,mgmitihp@gmail.com
INTEGRATED INFOTECH PRIVATE ITI,itibaheri@gmail.com
KAMLA KAPILESHWAR COLLEGE OF PHARMACY,kkcpvaishali@gmail.com
LAL DEVI NURSING AND PARAMEDICAL INSTITUTE,principal.dv@snmih.in
"DEPARTMENT OF EDUCATION, PATNA WOMEN'S COLLEGE",info@pwcbed.org
"GOVERNMENT WOMEN I.T.I., GAYA",womenitigaya@gmail.com
GLOBAL INSTITUTE OF NURSING AND PARAMEDICAL SCIENCES,enlightenedmindsedu@gmail.com
COLLEGE OF PHARMACY,rajgircollege@gmail.com
YASHODANAND COLLEGE OF PHARMACY,yashodanand2019@gmail.com
SIDHNATH  MEERA COLLEGE OF HIGHER EDUCATION,smhighereducation022@gmail.com
SEEMANCHAL DEGREE COLLEGE,sdcararia2022@gmail.com
R.B.S.R.D.R. COLLEGE,rbsrdrnursingcollege@gmail.com
SAI BABA INSTITUTE OF PHARMACEUTICAL SCIENCES,sbipsmuzaffarpur@gmail.com
SHREE BALAJI INSTITUTE OF NURSING AND PARAMEDICALS,shreebalajinursing.net@gmail.com
LUV KUSH NURSING INSTITUTE,luvkusheducationwelfaretrust@gmail.com
PATLIPUTRA COLLEGE OF PHARMACY AND TECHNOLOGY,amharafoundation@gmail.com
VIVEKANAND INSTITUTE OF PHARMACY,vipchhapra@gmail.com
IMPACT COLLEGE OF LAW,icl@impactcollege.in
RAHMANIA INSTITUTE OF NURSING AND PARAMEDICAL SCIENCES,drmarahmantrust@gmail.com
GYANJYOTI SCHOOL OF NURSING,rkravindra69@gmail.com
KAILASH SUSHIL GNM NURSING INSTITUTE,kailashsushilnursinginstitute@gmail.com
BAIDYANATH INSTITUTE OF NURSING AND PARAMEDICAL SCIENCES,baidyanathinstitutions@gmail.com
RCH NURSING COLLEGE,rchnursingcollege5@gmail.com
TRISHA NURSING INSTITUTE,trishanursinst@gmail.com
S K M COLLEGE OF NURSING AND PARAMEDICAL,skmpakaria@gmail.com
AHS NURSING COLLEGE,info@ahscollege.com
B L PHARMACY COLLEGE,blpharmacycollege1@gmail.com
EXALT COLLEGE OF EDUCATION,exaltexamdeptt@gmail.com
ABHA TEACHERS TRAINING INSTITUTE,attibedinstitute@gmail.com
"GOVERNMENT WOMEN INDUSTRIAL TRAINING INSTITUTE, BUXAR",witibuxar@gmail.com
"GOVERNMENT I.T.I., DUMRAON",govtitidumraon@gmail.com
"GOVERNMENT I.T.I., BUXAR",govtitibuxar@gmail.com
CHANAKYA FOUNDATION,gagan.chanakya@gmail.com
ARJUN COLLEGE OF NURSING,arjuncollege2018@gmail.com
PANACEA MEDICAL EDUCATION INSTITUTIONS,pmei.samastipur@gmail.com
SRI RAJ NURSING TRAINING INSTITUTE AND PARA MEDICAL INSTITUTE,srthospital@gmail.com
MODERN INSTITUTE OF PARAMEDICAL SCIENCES,miparamedicalbanka@gmail.com
SANJEEVANI AAROGYA SANSTHAN G.N.M. TRAINING SCHOOL,sanjeevaniarogyasansthan@gmail.com
ARYAMAN COLLEGE OF HIGHER STUDIES,achsvaishali@gmail.com
INDIAN INSTITUTE OF EDUCATION,nbcohepatna@gmail.com
DASHRATH PRASAD RAMNANDAN PANDEY B.ED. COLLEGE,dprpbed@gmail.com
SHUKLA COLLEGE OF PROFESSIONAL EDUCATION,scopesitamarhi@gmail.com
KALYAN SEVA SANSTHAN COLLEGE OF NURSING,ksscnprincipal@gmail.com
ANAMIKA NURSING AND PARAMEDICAL COLLEGE,anamikanursingcollegekatihar@gmail.com
SACHCHIDANAND SINHA COLLEGE,ssinhacollege@gmail.com
ST. PAUL TEACHERS' TRAINING COLLEGE BIRSINGHPUR,spttcbirsinghpur@gmail.com
VAIDEHI INSTITUTE OF NURSING AND HIGHER EDUCATION,puprivaidehiinstitute@gmail.com
INSTITUTE OF MANAGEMENT AND PLANNING AND ADVANCED COMPUTER TRAINING (IMPACT),info@impactcollege.in
SRI SAI PRIVATE INDUSTRIAL TRAINING INSTITUTE,sspvt.iti1987@gmail.com
VAISHALI PVT. INDUSTRIAL TRAINING INSTITUTE,vaishalipiti@gmail.com
NEW RADIANT PVT. I.T.I.,nradiantpvtiti@gmail.com
MAA  AMBIKA BHAWANI PVT. INDUSTRIAL TRAINING INSTITUTE,gyan12121985@gmail.com
NAVBHARAT PRIVATE I.T.I.,navbharatitc.hzp@gmail.com
LORD BUDDHA PVT. INDUSTRIAL TRAINING INSTITUTE,lbpvtiti@gmail.com
MAHENDRA NATH PVT. INDUSTRIAL TRAINING INSTITUTE,mnitimaharajganj@gmail.com
BABA MAHENDRA NATH PVT. INDUSTRIAL TRAINING INSTITUTE,bmpvtitisiwan@gmail.com
RAM SWAROOP PVT. INDUSTRIAL TRAINING INSTITUTE,rsitijamo@gmail.com
PARIJAT PRIVATE INDUSTRIAL TRAINING INSTITUTE,parijatpvtiti11@gmail.com
GILANI PVT. INDUSTRIAL TRAINING INSTITUTE,gilanipvt@gmail.com
ADITYA SAURAV PRIVATE I.T.I.,adityasaurav2281@gmail.com
APP DEEPO BHAV NURSING COLLEGE,appdeepobhavedu@gmail.com
L. T. NURSING INSTITUTE,ltnursinginstitute@gmail.com
MAHABIR NURSING SCHOOL AND COLLEGE,4uawanish@gmail.com
"A. M. COLLEGE, GAYA DEPT. OF EDUCATION (B.ED.)",ambedcollegegaya@gmail.com
SACHCHIDANAND SINHA COLLEGE (FACULTY OF PHARMACY),ssinhacollege@gmail.com
YAMUNA NURSING INSTITUTE,yamunanursinginstitute@gmail.com
"GOVERNMENT POLYTECHNIC, ARWAL",principalgparwal@gmail.com
PRABHU KAILASH INSTITUTE OF MANAGEMENT,prabhukailashinstituteofmgt@gmail.com
"SRI TRIDANDI DEV GOVT. DEGREE COLLEGE, SHAHPUR",stdgdcshahpur@gmail.com
ROSE PRIVATE ITI,roseitipatna@gmail.com
BIHAR INDUSTRIAL TRAINING CENTRE,biharpvtiti@gmail.com
RAM BHAJAN PRIVATE I.T.I.,rambhajaniti@gmail.com
RAJESH RANJAN ITI,rritibuxar@gmail.com
MAURYA PVT INDUSTRIAL TRAINING INSTITUTE,mauryaitism@gmail.com
SAI PVT. I.T.I.,saiitigaya@gmail.com
MAA MANGLA INDUSTRIAL TRAINING INSTITUTE,maamangla1254@gmail.com
MAGADH INDUSTRIAL TRAINING CENTRE,magadhpvtiti2001gaya@gmail.com
MUSKAN PVT. INDUSTRIAL TRAINING INSTITUTE,muskanpvtiti@gmail.com
NAV BHARAT PVT. I.T.I.,navbharatitibarauni@gmail.com
ADITYA RAJ PVT. I.T.I.,adityarajpvtiti@gmail.com
SAI PRIVATE I.T.I.,saiiti.patna@gmail.com
BHARAT PRIVATE I.T.I.,shashi.ranjan87@gmail.com
HI TECH PRIVATE I.T.I.,hitechit.patna@gmail.com
CHANAKYA INDUSTRIAL TRAINING CENTRE,chanakyaitigaya@gmail.com
NEW GLOBAL PRIVATE I.T.I.,motion.kanhaiya@gmail.com
VIJAYA PRIVATE INDUSTRIAL TRAINING INSTITUTE,vijayaprivateiti@gmail.com
PATLIPUTRA TECHNICAL COLLEGE,patliputratechnicalcollege@gmail.com
NEW ADARSH PVT. I.T.I.,newadarshiti@gmail.com
ADARSH INDUSTRIAL TRAINING CENTRE,adarshitc1275@gmail.com
BARAUNI PVT ITI,barauniiti@gmail.com
GREATER PVT ITI,greateriti@gmail.com
SATYA PVT. I.T.I,satyapvtiti@gmail.com
NEW CHANKYA PRIVATE ITI,newchanakyapvtiti@gmail.com
NBIT PVT. ITI,nbitmuz@gmail.com
MD. HAROON PVT ITI,mhpiti@gmail.com
SAHKARI SHILPI INDUSTRIAL TRAINING CENTRE,shashik312@gmail.com
MITESH PRIVATE I.T.C.,singhrameshkumar38@gmail.com
NALANDA CONVENT PVT ITI,alok3722@gmail.com
HUNAR INDIA PVT.ITI,hunarindia18@gmail.com
SHRI RAM PRIVATE ITI,byasmunidubey01@gmail.com
KISAN PRIVATE ITI,kisanprivateiti@gmail.com
SHIV GOVIND PRIVATE ITI,shivgovindpvtiti@gmail.com
BHAGALPUR CITY PVT. ITI,bhagalpurcityitc@gmail.com
SRI UMESH MISHRA RANJEET KUMAR PRAKASH COLLEGE,sumrkpcollege@gmail.com
HIMALAYA MEDICAL  COLLEGE AND HOSPITAL,himalayauniv.hmch@gmail.com
UNIVERSAL HOSPITAL AND RESEARCH CENTER,idkksharma@gmail.com
DR. RANJEET KUMAR PRAKASH COLLEGE,drkpcollege@gmail.com
SEEMANCHAL DEGREE COLLEGE (PROFESSIONAL) FORMERLY SEEMANCHAL DEGREE COLLEGE,sdcararia2022@gmail.com
RAJAN MAMTA DEGREE COLLEGE (R.M.D.C.),rmdcaurangabad@gmail.com
OXFORD BUSINESS COLLEGE,oxfordbcollege@gmail.com
DR. ZAKIR HUSAIN INSTITUTE FOR NON FORMAL AND CONTINUING EDUCATION,info@zhi.org.in
DR. ASHOK GAGAN COLLEGE,drashokgagancollege@gmail.com
MAGADH INSTITUTE OF TECHNOLOGY,magadhpolytechnic5@gmail.com
SITYOG INSTITUTE OF POLYTECHNIC,sityog@gmail.com
RIMU INSTITUTE OF TECHNOLOGY,rimugaya@gmail.com
SRI SAI PRIVATE ITI,srisaiprivateiti2014@gmail.com
BABA VISHWAKARMA PRIVATE ITI,babavishwakarmaitisaran2016@gmail.com
AWADHESH SINGH PVT. ITI,asinghiti12@gmail.com
SAI INSTITUTE OF TECHNICAL AND PROFESSIONAL COURSES ITC,sitpc98@gmail.com
SRI SANT PVT. INDUSTRIAL TRAINING INSTITUTE,srisantpvtiti@gmail.com
MOTHER TERESSA MANAGEMENT COLLEGE,mtmcollegepat@gmail.com
GULZARBAGH PVT. INDUSTRIAL TRAINING INSTITUTE,gulzarbaghiti@gmail.com
DAKSH PVT. ITI,dakshpvtiti@gmail.com
MAA PRABHAWATI SINGH PVT. INDUSTRIAL TRAINING INSTITUTE,mpspvtitisaran@gmail.com
MANORAMA PRIVATE ITI,manoramaiti8@gmail.com
GITA PRIVATE ITI,gitaitcmunger294@gmail.com
SHRIDI SAI GEETA PVT. I.T.I.,shirdisaigitaiti@gmail.com
VEDANTA PVT. I.T.I.,vedantaeducationaltrust@gmail.com
KCP PRIVATE ITI,kcpedu16@gmail.com
BR PRIVATE ITI,brpvt.iti02@gmail.com
RAJ NANDAN SINGH PRIVATE INDUSTRIAL TRAINING INSTITUTE,rnspvtiti@gmail.com
RCS PVT. I.T.I.,rcspvtiti@gmail.com
HARIOM PRIVATE INDUSTRIAL TRAINING INSTITUTE,hariomitisheohar@gmail.com
DR. PRAKASH CHANDRA AYURVEDIC MEDICAL COLLEGE AND HOSPITAL,pcamch.patna@gmail.com
LICHAVI INSTITUTE OF PROFESSIONAL STUDIES,lipsbihar@gmail.com
SHANTI DEVI PVT. INDUSTRIAL TRAINING INSTITUTE,shantidevipvtitipatna@gmail.com
RAM KEWAL SINGH INDUSTRIAL TRAINING CENTRE,rkspvtiti1772@gmail.com
BRIJ PVT. INDUSTRIAL TRAINING INSTITUTE,brijpvtitisiwan@gmail.com
PRATAP PRIVATE INDUSTRIAL TRAINING INSTITUTE,pratapiti6@gmail.com
R.S. PVT. INDUSTRIAL TRAINING INSTITUTE,rspvtiti.barbigha@gmail.com
GHANSHYAM SUDAMA PVT. ITI,gsmpvtiti@gmail.com
POPULAR PRIVATE ITI,itipopular@gmail.com
PROFESSIONAL CAREER INSTITUTE PRIVATE ITI,pcimuziti@gmail.com
PRAKASH ITC,prakashitc2010@gmail.com
RAMESHWAR PRIVATE I.T.I.,rameshwarprivateiti@gmail.com
SHARDA PVT. ITI,shardhaiti@gmail.com
SACHIDANAND PVT. INDUSTRIAL TRAINING INSTITUTE,sachidananditi@gmail.com
BHAGMATI BHUKHAN INDUSTRIAL TRAINING CENTRE,principal.bbitc@gmail.com
URMILA HITAISHI PVT. INDUSTRIAL TRAINING INSTITUTE,urmilahitaishi@gmail.com
MAA RANKINI PRIVATE ITI,maarankinipvtiti@gmail.com
TECHNO INDIA PVT. INDUSTRIAL TRAINING INSTITUTE,bitc.patna@gmail.com
PACIFIC PVT. INDUSTRIAL TRAINING INSTITUTE,pacificprivateiti@gmail.com
HORIZON PRIVATE ITI,horizonjanshi2015@gmail.com
RAJ PRIVATE INDUSTRIAL TRAINING INSTITUTE,rajitikaimur@gmail.com
K.D. PRIVATE ITI,kditisiwan@gmail.com
RAJGIR INDUSTRIAL TRAINING INSTITUTE,rajgiritc@gmail.com
ASHIRWAD INDUSTRIAL TRAINING CENTRE,aitcbegusarai@gmail.com
BEGUSARAI PVT. INDUSTRIAL TRAINING INSTITUTE,begusaraipvtiti@gmail.com
MAYA DEVI PRIVATE INDUSTRIAL TRAINING INSTITUTE,mayadeviiti2020@gmail.com
NEW R.K. SINGH PVT. I.T.I.,newrksinghiti@gmail.com
PATHAK INSTITUTE OF ELECTRONICS AND TECHNOLOGY,pathakinstitute.org@gmail.com
KONTEYA PRIVATE ITI,konteyaprivateiti@gmail.com
SARDAR RAMKARAN PRIVATE ITI,info.angfoundation@gmail.com
SATYAM PRIVATE ITI,chandankumaryadav02@gmail.com
DEEPAK RAJ PRIVATE ITI,deepakrajpvtiti@gmail.com
PINKI PRIVATE ITI,pinkiitibarari@gmail.com
RAM LAGAN RAY PVT I.T.I.,rlrpvtitivaishali@gmail.com
"COLLEGE OF TEACHER EDUCATION, BHAGALPUR",ctebhagalpur@gmail.com
J.P. INSTITUTE OF AYURVEDIC AND MEDICAL SCIENCES,jpayurveda21@gmail.com
MAHARANA PRATAP INSTITUTE OF TECHNOLOGY,principalmpit@gmail.com
MAHARANA PRATAP COLLEGE OF EDUCATION,maharanapratapcoe@gmail.com
REGIONAL COLLEGE OF EDUCATION,rcegaya01@gmail.com
HIMALAYA TEACHER'S TRAINING COLLEGE,himalayateachers@gmail.com
RAJ COLLEGE OF PHARMACY,rcpkaimur@gmail.com
SDT PRIVATE I.T.I.,itisdt@gmail.com
MASIHA INSTITUTE OF TECHNOLOGY PRIVATE ITI,mitkne2016@gmail.com
JAY NAGAR PVT. INDUSTRIAL TRAINING INSTITUTE,jainagariti@gmail.com
SHRI RAM PVT. INDUSTRIAL TRAINING INSTITUTE,shriramiti0@gmail.com
SADGURU TECHNICAL PRIVATE ITI,sadgurutechnicaliti@gmail.com
EASTERN PVT. INDUSTRIAL TRAINING INSTITUTE,easternitimotihari@gmail.com
"GOVERNMENT MEDICAL COLLEGE, PURNEA",govt.mcpurnea@gmail.com
MGM PRIVATE ITI,mgmitifbg@gmail.com
SYMBIOSIS ITC,symbiosisiti@gmail.com
BHARAT PRIVATE ITI,satishsingh.ara@gmail.com
NAV BHARAT PRIVATE ITI,bharatara2@gmail.com
TAUHEED INSTITUTE OF ENGINEERING AND TECHNOLOGY,tietkne@gmail.com
"GOVERNMENT DENTAL COLLEGE AND HOSPITAL, NALANDA",principalgovtdentalcollegerh@gmail.com
CHAND BABU PRIVATE I.T.I.,chandbabupvtiti@gmail.com
KUNAL PRIVATE INDUSTRIAL TRAINING INSTITUTE,kunalitichapra@gmail.com
SARAN INDUSTRIAL TRAINING CENTRE,saranitccpr@gmail.com
JAWAHAR LAL INDUSTRIAL TRAINING CENTRE,tarkeshwarjliti2014@gmail.com
ANGEL PRIVATE I.T.I.,atish.patna@gmail.com
AISHWARYA MAX GLOW PVT. I.T.I.,aishwaryamaxglowpvtiti@gmail.com
SATHI PVT. INDUSTRIAL TRAINING INSTITUTE,itisathi@gmail.com
"DEPARTMENT OF EDUCATION, B.N. MANDAL UNIVERSITY, MADHEPURA",doedbnmu@gmail.com
DASHRATH PRASAD RAMNANDAN PANDEY COLLEGE OF PHARMACY,dprppharmacy@gmail.com
CIMAGE CENTER OF DIGITAL TECHNOLOGY AND ENTREPRENEURSHIP,megha@cimage.in
SHIVI COLLEGE OF HIGHER EDUCATION,sctmuz@gmail.com
MPS COLLEGE OF HIGHER EDUCATION,mpscollege1@gmail.com
KHAWAJA GARIB NAWAJ PARA MEDICAL COLLEGE,kgnpmcdarbhanga2018@gmail.com
RUNGTA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,rkrungtact.araria@gmail.com
SATYAM INSTITUTE OF TECHNOLOGY AND MANAGEMENT,poojans.1967@gmail.com
KURMA SANSKRITI INSTITUTE OF TECHNOLOGY AND MANAGEMENT,kurmasitm@gmail.com
"TEACHERS' TRAINING COLLEGE, BHAGALPUR",ttcb512@gmail.com
MAULANA MAZHARUL HAQUE TEACHERS' TRAINING COLLEGE,mmhttc@gmail.com
BAIKUNTH TEACHERS' TRAINING COLLEGE,bttcollegesiwan@gmail.com
MAITREYA COLLEGE OF EDUCATION AND MANAGEMENT,admin@maitreyaedu.co.in
ARHAM COLLEGE OF ENGINEERING AND MANAGEMENT,arhamgroopofcollege@gmail.com
ASHA PRIVATE ITI,ashapvtiti2016@gmail.com
CHETAN SADHANA PVT. ITI,ignou.csist@gmail.com
SARDAR PATEL PVT ITI,info.spateliti@gmail.com
GREATER PVT. ITI,gitivaishali@gmail.com
TECHNOSPACE PVT. ITI,technospaceiti@gmail.com
JMD PRIVATE ITI,jmdpvtiti@gmail.com
MANDAR PRIVATE ITI,mandariti@gmail.com
SIDDHARTH PRIVATE ITI,siddharthiti5@gmail.com
GAURI SANKAR PRIVATE ITI,gaurishankariti@gmail.com
BASUDEV SHRI KRISHNA INSTITUTE OF TECHNICAL EDUCATION PRIVATE ITI,bskitimadhepura@gmail.com
BASUDEV SHREE KRISHNA PRIVATE ITI,bskitimdp@gmail.com
GLOBAL PLUS PRIVATE ITI,globalplusedu@gmail.com
KOSHI PRIVATE ITI,koshiitimadhepura@gmail.com
GLOBAL PRIVATE ITI,globalpvtitidbg01@gmail.com
NARAYANA INSTITUTE OF TECHNOLOGY PRIVATE ITI,nitprivateiti@gmail.com
KGN PRIVATE ITI,kgnprivateiti@gmail.com
DT INSTITUTE OF MANAGEMENT AND TECHNOLOGY,dtinstitutegroups@gmail.com
Post Graduate Government College,principal@gc11.ac.in
"Government College, Sector 46",gc46chandigarh@gmail.com
DAV College,mail@davchd.ac.in
Sri Guru Gobind Singh College,principal.sggs26@gmail.com
Dev Samaj College for Women,info@dscw45.com
Goswami Ganesh Dutta Sanatan Dharma College,info@ggdsd.ac.in
Government Polytechnic for Women,pplgpw@gmail.com
CHANDIGARH INSTITUTE OF HOTEL MANAGEMENT,cihm42@gmail.com
Pandit Ravishankar Shukla University,registrarprsu@gmail.com
National Institute of Technology Raipur,registrar@nitrr.ac.in
Guru Ghasidas Vishwavidyalaya,ggv.registrar@gmail.com
Government Jamuna Prasad Verma P. G. Arts and Commerce College,gpgacc.bsp@gmail.com
D. P. Vipra College,dpvipracollege@gmail.com
Government V. Y. T. P. G. Autonomous College,pprinci2010@gmail.com
Institute of Advanced Studies in Education,iasebilaspur@gmail.com
Shri Shankaracharya Technical Campus,sstc@sstc.ac.in
GOVERNMENT ENGINEERING COLELGE,principalgecbilaspur@gmail.com
Columbia Institute of Pharmacy,cipraipur@gmail.com
Indian Institute of Management Raipur,librarian@iimraipur.ac.in
HIDAYATULLAH NATIONAL LAW UNIVERSITY RAIPUR,registrar@hnlu.ac.in
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RAIPUR",dean@aiimsraipur.edu.in
SHRI SHANKARACHARYA INSTITUTE OF PROFESSIONAL MANAGEMENT & TECHNOLOGY RAIPUR,info@ssipmt.com
DR SHYAMA PRASAD MUKHERJEE INTERNATIONAL INSTITUTE OF INFORMATION TECHNOLOGY (NAYA RAIPUR),iiitnr@iiitnr.ac.in
CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING AND TECHNOLOGY (INSTITUTE OF PETROCHEMICALS TECHNOLOGY) RAIPUR,cipetraipur@gmail.com
KALINGA UNIVERSITY,registrar@kalingauniversity.ac.in
RUNGTA COLLEGE OF ENGINEERING AND TECHNOLOGY,mohan@rungta.ac.in
"COLLEGE OF HORTICULTURE AND RESEARCH STATION, JAGDALPUR",dean.coh.jdp@gmail.com
"GOVERNMENT AYURVED COLLEGE AND HOSPITAL, BILASPUR",govt.ayurvedcollegebilaspur@gmail.com
RAIPUR INSTITUTE OF TECHNOLOGY,rit.iqac@gmail.com
DR. C.V. RAMAN UNIVERSITY,info@cvru.ac.in
CHRISTIAN COLLEGE OF ENGINEERING AND TECHNOLOGY,principal.011.csvtu@gmail.com
INDIAN INSTITUTE OF TECHNOLOGY BHILAI,academics@iitbhilai.ac.in
